iter	Passed	Remaining
0	0	982
1	1	953
2	2	896
3	3	863
4	4	845
5	5	829
6	5	822
7	6	822
8	7	823
9	8	830
10	9	823
11	9	816
12	10	814
13	11	811
14	12	808
15	13	803
16	13	805
17	14	801
18	15	802
19	16	798
20	17	796
21	17	791
22	18	788
23	19	786
24	20	788
25	20	786
26	21	782
27	22	778
28	23	774
29	23	771
30	24	769
31	25	767
32	26	768
33	27	768
34	27	767
35	28	766
36	29	764
37	30	763
38	30	760
39	31	758
40	32	758
41	33	757
42	33	754
43	34	752
44	35	751
45	36	750
46	36	748
47	37	748
48	38	747
49	39	747
50	40	745
51	40	743
52	41	740
53	42	739
54	42	738
55	43	736
56	44	735
57	45	734
58	45	733
59	46	731
60	47	729
61	48	728
62	48	727
63	49	729
64	50	730
65	51	730
66	52	728
67	52	722
68	53	721
69	54	720
70	54	718
71	55	717
72	56	716
73	57	715
74	57	713
75	58	712
76	59	711
77	60	709
78	60	708
79	61	708
80	62	706
81	62	704
82	63	705
83	64	704
84	65	700
85	65	699
86	66	695
87	67	694
88	67	693
89	68	692
90	69	691
91	70	691
92	70	690
93	71	689
94	72	688
95	73	687
96	73	685
97	74	684
98	75	683
99	75	682
100	76	680
101	76	677
102	77	676
103	78	675
104	79	674
105	79	674
106	80	674
107	81	674
108	82	674
109	83	674
110	84	674
111	84	673
112	85	673
113	86	673
114	87	672
115	88	671
116	88	671
117	89	671
118	90	670
119	91	670
120	92	669
121	92	667
122	93	664
123	94	664
124	94	663
125	95	662
126	96	661
127	96	659
128	97	658
129	98	657
130	98	656
131	99	656
132	100	656
133	101	655
134	102	654
135	102	653
136	103	652
137	104	650
138	104	650
139	105	649
140	106	649
141	107	649
142	108	648
143	109	648
144	109	647
145	110	646
146	111	645
147	112	645
148	113	646
149	114	646
150	114	645
151	115	644
152	116	643
153	116	641
154	117	640
155	118	640
156	119	641
157	120	640
158	120	639
159	121	638
160	122	637
161	123	636
162	123	635
163	124	634
164	125	633
165	125	632
166	126	631
167	127	631
168	128	630
169	129	630
170	129	629
171	130	628
172	131	627
173	132	626
174	132	625
175	133	624
176	134	623
177	134	622
178	135	621
179	136	620
180	136	618
181	137	617
182	138	616
183	138	615
184	139	614
185	140	613
186	140	612
187	141	611
188	142	609
189	142	608
190	143	608
191	144	607
192	145	606
193	145	606
194	146	605
195	147	604
196	148	603
197	148	602
198	149	602
199	150	601
200	150	600
201	151	599
202	152	598
203	153	597
204	153	596
205	154	595
206	155	594
207	156	594
208	156	593
209	157	592
210	158	591
211	158	590
212	159	589
213	160	588
214	160	587
215	161	587
216	162	586
217	163	585
218	163	584
219	164	583
220	165	582
221	165	581
222	166	580
223	167	579
224	168	578
225	168	577
226	169	576
227	169	575
228	170	574
229	171	573
230	172	572
231	172	571
232	173	571
233	174	570
234	175	569
235	175	568
236	176	567
237	177	566
238	177	566
239	178	565
240	179	564
241	179	562
242	180	562
243	181	561
244	181	560
245	182	559
246	183	558
247	184	557
248	184	556
249	185	555
250	186	555
251	186	554
252	187	553
253	188	552
254	188	551
255	189	550
256	190	549
257	190	548
258	191	547
259	192	546
260	192	545
261	193	545
262	194	544
263	194	543
264	195	542
265	196	541
266	196	540
267	197	539
268	198	538
269	199	538
270	199	537
271	200	536
272	200	535
273	201	534
274	202	533
275	203	532
276	203	531
277	204	530
278	205	530
279	205	529
280	206	528
281	207	527
282	207	526
283	208	525
284	209	524
285	209	523
286	210	522
287	210	521
288	211	520
289	212	519
290	213	519
291	213	518
292	214	517
293	215	516
294	215	515
295	216	515
296	217	514
297	218	513
298	218	512
299	219	511
300	219	510
301	220	509
302	221	508
303	222	508
304	222	507
305	223	506
306	224	506
307	224	505
308	225	504
309	226	503
310	226	502
